A	B	C	D
49.45431237	30.03169451	58.8184257	45.0488769
25.27802306	36.16338581	32.39819433	30.23237809
41.17639093	31.43574534	26.09217236	25.52497478
55.28963951	54.95026591	18.52980367	32.46651259
39.29169199	53.48663693	40.5669578	24.4275776
24.44296894	30.34574628	50.35120215	47.86655844
26.92625985	17.64544159	20.29361806	41.62910219
52.02426974	27.37969794	24.62322065	28.71360697
39.75755157	59.23069935	30.39644576	29.90174032
55.35556516	48.29246757	39.61446298	33.11970917
35.13972277	24.67648805	52.01892749	55.71542798
25.98909164	39.11042878	32.38742063	58.09786499
54.96194431	18.25303169	35.43416283	23.44464499
51.44202019	45.00060687	26.47798962	37.2932624
51.8372161	41.69718821	57.03159425	20.05119988
35.61107157	36.95425208	58.06152085	48.73373569
28.67994472	34.73026002	29.46971354	41.05618436
45.0491961	22.10162749	16.98029434	29.89272142
45.88566354	42.36833669	28.50140414	28.20980022
52.57689045	54.15614612	39.83845116	29.05428022
16.59421144	33.54586526	51.48108692	46.32080906
24.56468309	25.30778162	32.22742582	48.57061422
41.7579567	23.89265343	19.48738773	25.28795327
50.74691583	53.74223223	35.53957691	37.6298372
46.17336211	41.55502344	49.48470248	29.67285664
20.86044781	18.30582208	50.24067634	38.35716101
32.46306808	28.43827037	32.06216825	43.93647085
48.38988087	24.17508562	25.45044713	28.68304281
60.50985117	41.61905045	34.40856689	42.72571342
38.21270167	52.41364533	58.152062	29.91205596
