A	B	C	D
49.45431237	30.03169451	58.8184257	45.0488769
25.27802306	36.16338581	32.39819433	30.23237809
41.17639093	31.43574534	26.09217236	25.52497478
55.28963951	54.95026591	18.52980367	32.46651259
39.29169199	53.48663693	40.5669578	24.4275776
24.44296894	30.34574628	50.35120215	47.86655844
26.92625985	17.64544159	20.29361806	41.62910219
52.02426974	27.37969794	24.62322065	28.71360697
39.75755157	59.23069935	30.39644576	29.90174032
55.35556516	48.29246757	39.61446298	33.11970917
35.13972277	24.67648805	52.01892749	55.71542798
25.98909164	39.11042878	32.38742063	58.09786499
54.96194431	18.25303169	35.43416283	23.44464499
51.44202019	45.00060687	26.47798962	37.2932624
51.8372161	41.69718821	57.03159425	20.05119988
35.61107157	36.95425208	58.06152085	48.73373569
28.67994472	34.73026002	29.46971354	41.05618436
45.0491961	22.10162749	16.98029434	29.89272142
45.88566354	42.36833669	28.50140414	28.20980022
52.57689045	54.15614612	39.83845116	29.05428022
16.59421144	33.54586526	51.48108692	46.32080906
24.56468309	25.30778162	32.22742582	48.57061422
41.7579567	23.89265343	19.48738773	25.28795327
50.74691583	53.74223223	35.53957691	37.6298372
46.17336211	41.55502344	49.48470248	29.67285664
20.86044781	18.30582208	50.24067634	38.35716101
32.46306808	28.43827037	32.06216825	43.93647085
48.38988087	24.17508562	25.45044713	28.68304281
60.50985117	41.61905045	34.40856689	42.72571342
38.21270167	52.41364533	58.152062	29.91205596
28.61645431	26.9640318	48.92328658	58.99715885
31.51838632	32.78969359	47.65027802	51.31749798
56.09761296	31.95541082	30.87574225	33.97674543
47.51267622	53.46196569	27.78841522	31.89339842
56.53316828	47.99156544	47.30251969	23.69729865
28.71303114	31.2338938	40.31709842	37.96904969
37.12165411	21.30169513	35.10373238	54.7017236
52.56414737	25.23905636	27.08160697	37.42586495
50.99737199	52.79399535	45.50448272	25.21687086
49.15804812	44.76908738	43.59559094	36.58760361
25.97046317	26.98137188	56.6917389	51.19290392
27.95303923	31.08298288	28.87442766	42.11627859
53.23063425	37.31906172	28.99553159	37.67895814
57.86574655	55.77629432	19.18643263	22.49711498
52.35398146	54.25285628	49.0835143	33.086825
19.78712661	33.61424835	51.82645066	46.38561517
26.46541734	27.61805449	35.64462077	47.88969168
47.04161557	25.27743904	19.62708168	32.24890177
45.68708768	57.09434859	29.91731674	30.05342913
45.17912178	41.69783619	55.28414461	20.59502581
