A	B	C	D
399	 13	 605	 28
24	 7	 35	 43
414	 14	 29	 31
405	 263	 40	 23
655	 745	 693	 41
20	 13	 362	 198
15	 32	 51	 712
352	 27	 27	 16
642	 552	 18	 20
468	 196	 253	 26
35	 13	 400	 530
25	 12	 19	 474
500	 23	 16	 20
511	 245	 40	 27
641	 468	 924	 26
19	 19	 643	 962
23	 23	 38	 894
243	 31	 14	 9
768	 452	 33	 7
261	 618	 288	 24
11	 17	 176	 198
0	 38	 20	 673
337	 22	 11	 37
904	 127	 23	 26
334	 306	 416	 26
24	 24	 373	 579
39	 29	 20	 475
652	 33	 42	 27
433	 340	 23	 22
230	 747	 238	 18
