A	B	C	D
49.13962586	26.11034108	59.06375377	53.41089491
21.66662693	41.09994162	29.64208237	34.08302352
49.92556556	43.093466	41.98840346	26.36436719
52.93701419	42.1737551	37.13575593	44.1477967
54.06596295	50.29844048	53.06676014	35.29154475
28.90031601	35.13228374	48.87293066	43.95757272
25.27014319	28.09544002	24.92379524	52.61372861
40.69002454	37.18241473	55.78502842	55.91155986
24.48812359	20.91677978	40.06360444	31.51625123
61.14288204	29.97837507	31.52493813	37.80837553
45.42345493	47.57371841	28.69986245	29.61563857
47.96537884	41.63027287	56.38892561	32.15280816
31.35972556	42.66968053	53.95677082	40.4635731
21.34184145	33.16301972	28.70585438	52.70759049
46.67628758	26.60168434	47.98803076	22.31633532
46.79220546	59.55899084	34.53307678	29.38814475
53.11299653	47.67804331	46.65932288	16.18989196
29.1104569	32.8780466	47.95575345	49.62889606
42.72127425	30.64209419	31.42936239	36.78181793
58.30064521	37.97263987	40.38132171	33.99971255
50.01774851	37.1304003	28.31127691	26.41452944
52.15946994	56.60080518	57.48798475	20.05563119
23.70753886	25.4171737	42.40331	44.09060674
39.11460138	22.26690384	28.50029381	43.94778999
48.68588463	38.0098613	20.35480507	35.5426174
62.96264709	48.95638859	32.37616136	25.04579091
48.73940232	59.22018883	43.67282386	43.58785659
35.70633501	22.41180285	51.74205134	47.26877636
29.56357338	30.27065597	5.2089995	54.50095025
38.13375176	33.45261013	35.8321205	33.61414766
23.43039669	49.53999095	31.44560873	29.71201566
42.63274002	34.09010287	41.78290087	54.34416368
40.39578251	37.05805261	22.90199958	37.87099164
40.54771454	33.88070581	40.34530566	32.55998712
46.17655145	45.88429411	22.48841175	32.6054229
43.73871784	42.05880928	54.05514266	32.79118183
25.36421931	39.63254857	42.33512139	58.51447423
30.59748081	27.48371445	24.62176275	52.14058781
45.47280294	38.42613809	26.2436584	24.74175423
56.18932609	57.96366698	33.95778146	28.17453161
