A	B	C	D
122	 33	 283	 224
13	 23	 17	 32
236	 41	 30	 26
165	 221	 20	 28
116	 216	 209	 34
29	 36	 50	 202
21	 34	 18	 48
187	 58	 20	 22
187	 180	 20	 9
392	 120	 505	 15
18	 21	 255	 142
20	 44	 33	 92
153	 22	 35	 10
354	 122	 11	 17
135	 407	 287	 22
15	 33	 96	 90
31	 234	 33	 63
161	 18	 215	 390
42	 24	 28	 29
148	 9	 10	 65
270	 189	 31	 16
158	 272	 169	 12
23	 25	 314	 113
7	 27	 40	 91
164	 20	 11	 46
186	 223	 46	 14
258	 124	 224	 29
9	 10	 135	 199
17	 10	 37	 185
128	 17	 35	 25
